"Title","Date of First Article","Articles","Terms","Active","Crime","Econ@","Garda","Milit","Negativ","POLIT","Passive","Positiv","Strong","Weak"
"Wednesday: 06/02/2019","2019-02-06T00:00:00.000Z",31,0.20620755084689885,0.2914015627537093,0.48911505890210494,-0.17367429819792018,1.4949455923616877,-1.093783366846757,-0.7002827897356502,-0.7290673739910352,-0.38539691049092556,-0.8931786906460669,0.20992334892162706,-0.3472761382609137
"Thursday: 07/02/2019","2019-02-07T00:00:00.000Z",25,-0.5231062598193486,2.070428512281345,-0.1304458935889884,0.5790150174321419,0.16775860372770943,-0.004698251020591311,-0.24114682907343826,0.02409784068148734,0.5371493013609281,0.904845504763564,1.4100496528954682,-0.18672369470327113
"Sunday: 10/02/2019","2019-02-10T17:38:00.000Z",8,1.7780243049919555,0.8819408321795221,-2.020556532259061,-0.7541402697739958,-1.7421482247401712,1.9951451979303994,1.7448059528459803,1.2592267348937456,2.322578930829051,0.6816185366800319,1.092758278257167,1.3456327846893255
"Saturday: 09/02/2019","2019-02-09T00:00:00.000Z",36,0.4802426720392674,-1.100451488197578,1.6695868669585319,0.12309858314260387,-0.7409759083340289,0.10716330712603803,0.21232869853319886,-0.928103615194664,-1.2705968425125376,-0.8146513094443492,-0.5488450590841562,-0.1129989875947262
"Friday: 08/02/2019","2019-02-08T10:00:00.000Z",22,-0.663931637082492,-0.8683485701085878,0.7535654024816867,1.4079406096760518,1.395202925314363,-0.8592517944099772,0.4306401579582583,-1.2639199733594952,0.019481665222382993,0.2060178588816356,-1.5836631475153509,0.2902599415796332
"Tuesday: 05/02/2019","2019-02-05T13:29:00.000Z",33,0.09452071397477922,0.051467032108184464,0.01509688805292101,-0.7985855242720199,-0.09296635670729349,0.5961685716389933,0.07564782985289988,-0.49086653935018204,-0.26400273723496964,-0.24926112146938476,-0.107147962675313,-0.37118639541967824
"Monday: 04/02/2019","2019-02-04T00:00:00.000Z",13,-1.8903378322468318,-0.703225032005844,-0.4335889059583878,1.2841585776108635,-0.03896598057922253,0.4791710853157699,-1.9883139131202674,0.38723853491624255,-0.36999725486293755,-1.5203655505274931,-1.195956892664086,-1.983402310015681
"Monday: 11/02/2019","2019-02-11T00:00:00.000Z",9,0.518380487295772,-0.6232128490107594,-0.34277288458880806,-1.667812695617724,-0.4428506510430341,-1.219914749733875,0.4663208927390171,1.741394391403903,-0.5892161523109871,1.6849747717620613,0.722881781864647,1.3656947997253117
